package_name,total_packages_installed,normal_time,typosquatting_time,difference,,,,
#NAME?,278,19.6993354,20.0267329,0.3273975,,,,
markdown-it,7,1.7487361,1.69413,-0.0546061,,,,
crypto-browserify,34,3.0729367,3.134458,0.0615213,,,,
imagemin-pngquant,231,27.2231758,15.4160144,-11.8071614,,,,
express,50,3.6923014,3.5849111,-0.1073903,,,,
clone-deep,5,1.5095351,1.7910643,0.2815292,,,,
clone-deep,5,1.5868059,2.0887936,0.5019877,,,,
hpack.js,12,1.7730502,2.0063212,0.233271,,,,
array-flatten,1,1.2925321,1.3205924,0.0280603,,,,
loglevel,1,1.4060023,1.6396837,0.2336814,,,,
invert-kv,1,1.2990949,1.4835008,0.1844059,,,,
regjsparser,2,1.5992584,1.4336569,-0.1656015,,,,
lodash.islength,1,1.348122,1.4592353,0.1111133,,,,
raven,9,1.9380497,1.6649908,-0.2730589,,,,
path-root,2,1.3664479,1.6764028,0.3099549,,,,
camelcase,1,1.6032722,1.5042767,-0.0989955,,,,
fill-range,3,1.4682754,1.5688482,0.1005728,,,,
aws4,1,1.4741936,1.4652058,-0.0089878,,,,
babel-helper-define-map,28,4.3104048,5.3470107,1.0366059,,,,
lodash._root,1,1.4004174,1.5325844,0.132167,,,,
jest-validate,20,2.6326256,2.7848917,0.1522661,,,,
buffer-fill,1,1.2641807,1.3844839,0.1203032,,,,
#NAME?,5,1.6767422,1.58768,-0.0890622,,,,
async,1,1.3659021,1.3401869,-0.0257152,,,,
rimraf,12,3.1648523,2.0606603,-1.104192,,,,
resolve-url-loader,47,8.0979542,7.4003436,-0.6976106,,,,
glob,11,1.9641338,2.204124,0.2399902,,,,
depd,1,1.4711293,1.3963933,-0.074736,,,,
glob,11,1.9098073,1.9666141,0.0568068,,,,
readable-stream,5,1.6809466,1.8036771,0.1227305,,,,
string.prototype.padstart,16,2.9357695,3.0930001,0.1572306,,,,
path-parse,1,1.4119023,1.6186638,0.2067615,,,,
json-schema-traverse,1,1.2566954,1.3579676,0.1012722,,,,
fill-range,3,1.5295847,1.4654903,-0.0640944,,,,
hoek,1,1.6355487,1.3023241,-0.3332246,,,,
#NAME?,30,4.4967558,4.7233287,0.2265729,,,,
stream-http,8,1.7651983,1.7789457,0.0137474,,,,
memory-pager,1,1.4684488,1.2723124,-0.1961364,,,,
shallow-clone,2,1.3703895,1.4197372,0.0493477,,,,
jest-matcher-utils,20,2.9580868,2.7339604,-0.2241264,,,,
p-reduce,1,1.3386833,1.3448283,0.006145,,,,
read,2,1.636473,1.5740749,-0.0623981,,,,
is-relative,3,2.244049,1.6648524,-0.5791966,,,,
#NAME?,1,1.2526671,1.4275047,0.1748376,,,,
graceful-readlink,1,1.3805969,1.6407342,0.2601373,,,,
#NAME?,31,3.4257402,3.3834965,-0.0422437,,,,
arr-diff,1,1.4209666,1.4600642,0.0390976,,,,
emojis-list,1,1.3120318,1.2935952,-0.0184366,,,,
detect-libc,1,1.2433441,1.4391248,0.1957807,,,,
json-loader,1,1.4740139,1.3024808,-0.1715331,,,,
console-browserify,1,1.335273,1.4644605,0.1291875,,,,
postcss-custom-media,11,2.4036221,2.1705192,-0.2331029,,,,
escodegen,12,1.7080786,1.844205,0.1361264,,,,
#NAME?,28,3.8954045,4.1026676,0.2072631,,,,
rfdc,1,1.3331799,1.6695872,0.3364073,,,,
babel-plugin-transform-async-to-generator,30,4.2403314,4.2474154,0.007084,,,,
jest-each,23,3.0442402,2.9536956,-0.0905446,,,,
debug,2,1.4057471,1.6083846,0.2026375,,,,
uglify-js,3,1.6556765,1.7936078,0.1379313,,,,
interpret,1,1.395156,1.3372838,-0.0578722,,,,
delayed-stream,1,1.2655864,1.2437168,-0.0218696,,,,
is-fullwidth-code-point,1,1.2332471,1.4166527,0.1834056,,,,
sass,16,3.5212165,3.2822225,-0.238994,,,,
snyk-gradle-plugin,15,2.0751107,2.3205021,0.2453914,,,,
node-fetch,1,1.3887586,1.3579093,-0.0308493,,,,
urix,1,1.3185915,1.4637431,0.1451516,,,,
abort-controller,2,1.3699955,1.5751567,0.2051612,,,,
isarray,1,1.4708443,1.4248023,-0.046042,,,,
prompts,3,1.4551541,1.4318657,-0.0232884,,,,
load-json-file,20,2.8588875,2.5711469,-0.2877406,,,,
shebang-regex,1,1.4479534,1.5306215,0.0826681,,,,
#NAME?,1,1.3570841,1.3565721,-0.000512,,,,
string_decoder,2,1.7009689,1.6009215,-0.1000474,,,,
camelcase,1,1.2819755,1.3470515,0.065076,,,,
copy-descriptor,1,1.5815034,1.5695725,-0.0119309,,,,
hoist-non-react-statics,2,1.410108,1.4602111,0.0501031,,,,
babel-helper-to-multiple-sequence-expressions,1,1.4510306,1.4924974,0.0414668,,,,
sass-graph,69,5.3318116,5.376889,0.0450774,,,,
object.entries,16,3.0894453,3.0992785,0.0098332,,,,
setprototypeof,1,1.3865443,1.8689466,0.4824023,,,,
tap-yaml,4,1.8879151,1.9860689,0.0981538,,,,
resolve-url,1,1.2844529,1.2746894,-0.0097635,,,,
webpack-log,10,2.0392703,2.2374992,0.1982289,,,,
require-directory,1,1.2985371,1.5721097,0.2735726,,,,
chalk,7,1.9930247,2.0538496,0.0608249,,,,
vm-browserify,1,1.6475199,1.4037428,-0.2437771,,,,
setprototypeof,1,1.3577665,1.7444004,0.3866339,,,,
minimist,1,1.3962901,1.5507897,0.1544996,,,,
unicode-property-aliases-ecmascript,1,1.4839738,1.4641455,-0.0198283,,,,
d,8,4.0069055,3.9663413,-0.0405642,,,,
tough-cookie,4,1.4522269,1.686962,0.2347351,,,,
npm-bundled,2,1.3485635,1.5262463,0.1776828,,,,
